run,package,name,workers,chunksize,frequency,time,bytes_recv,bytes_sent,packets_recv,packets_sent,errin,errout,dropin,dropout,cache_hits,cache_misses
2,kerchunk,load,100,4,day,409.19403076171875,25138583136,11278488499,4334792,2510712,0,0,0,0,,
2,kerchunk,open,101,4,day,2.6752967834472656,100714760,55407524,14158,10301,0,0,0,0,,
2,kerchunk,locate,101,4,day,0.002504587173461914,0,0,0,0,0,0,0,0,,
2,kerchunk,load,101,4,day,12780.82706618309,333207756720,237270185564,59289281,38085119,0,0,0,0,,
2,pyfive,open,100,4,day,1.3812658786773682,33292984,18410735,5412,3553,0,0,0,0,1.0,1.0
2,pyfive,locate,100,4,day,6.875600576400757,127937898,72934206,21530,14367,0,0,0,0,1.0,3.0
2,pyfive,load,100,4,day,277.01922631263733,20910900407,4000475276,6377250,2964857,0,0,0,0,1.0,3.0
0,kerchunk,open,101,4,3hr,5.124220371246338,209203081,83814955,28448,21257,0,0,0,0,,
0,kerchunk,locate,101,4,3hr,0.0016317367553710938,0,0,0,0,0,0,0,0,,
0,kerchunk,load,101,4,3hr,10800.978600025177,248506431152,134097270724,42283123,25928175,0,0,0,0,,
1,kerchunk,open,101,4,3hr,4.59363579750061,177712274,58739797,24624,15978,0,0,0,0,,
1,kerchunk,locate,101,4,3hr,0.005205392837524414,396336,1650,44,25,0,0,0,0,,
1,kerchunk,load,101,4,3hr,10778.733628034592,234766514179,125704212710,40141690,24083744,0,0,0,0,,
0,kerchunk,open,101,4,day,2.935359477996826,103941659,33603023,13496,9057,0,0,0,0,,
0,kerchunk,locate,101,4,day,0.004601001739501953,260714,30912,45,26,0,0,0,0,,
0,kerchunk,load,101,4,day,12759.01124215126,341986352556,319330120380,63908787,41595194,0,0,0,0,,
1,kerchunk,open,101,4,day,3.180814743041992,105182595,59621335,15239,9621,0,0,0,0,,
1,kerchunk,locate,101,4,day,0.0040509700775146484,132968,128444,26,16,0,0,0,0,,
1,kerchunk,load,101,4,day,12750.386394500732,337393469010,331287346250,66017197,43817692,0,0,0,0,,
